    y (mm)  Voltage (V)
0      0.3     0.702501
1      0.4     0.785373
2      0.5     0.822224
3      0.6     0.866596
4      0.7     0.915733
5      0.8     0.935191
6      0.9     0.972749
7      1.0     0.980556
8      1.1     0.991363
9      1.2     1.050391
10     1.3     1.050475
11     1.4     1.083788
12     1.5     1.084132
13     1.6     1.133559
14     1.7     1.158648
15     1.8     1.165669
16     1.9     1.176143
17     2.0     1.175050
18     2.1     1.192348
19     2.2     1.211151
20     2.3     1.270470
21     2.4     1.250846
22     2.5     1.263624
23     2.6     1.301393
24     2.7     1.272722
25     2.8     1.323057
26     2.9     1.347352
27     3.0     1.338836
28     3.1     1.336397
29     3.2     1.347979
30     3.3     1.359422
31     3.4     1.403192
32     3.5     1.390836
33     3.6     1.398335
34     3.7     1.405130
35     3.8     1.418732
36     3.9     1.433317
37     4.0     1.458678
38     4.1     1.468749
39     4.2     1.456771
40     4.3     1.472093
41     4.4     1.494421
42     4.5     1.488860
43     4.6     1.506682
44     4.7     1.525529
45     4.8     1.524634
46     4.9     1.530593
47     5.0     1.534842
48     5.1     1.557425
49     5.2     1.545741
50     5.3     1.548837
51     5.4     1.550065
52     5.5     1.549081
53     5.6     1.550124
54     5.7     1.552321
55     5.8     1.546780
56     5.9     1.551982
57     6.0     1.545669
58     6.1     1.550371
59     6.2     1.553337
60     6.3     1.548589
61     6.4     1.556884
62     6.5     1.551239
63     6.6     1.555292
64     6.7     1.559039
65     6.8     1.563775
66     6.9     1.541033
67     7.0     1.548058
